"id","name","course_url","description","provenance","image_url","special_id","subject"
"csr00001","The Data Scientists Toolbox","http://www.coursera.org/specializations/jhu-data-science","you will get an introduction to the main tools and ideas in the data  scientist's toolbox. The course gives an overview of the data, questions, and tools that data analysts and data scientists work with. There are two components... moreYou can choose to take  only. Learn more.","Johns Hopkins University","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/eb/8e18e0a4f111e59ae9c776a3dd0526/jhu-logo-thumb.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00001",""
"csr00002","R Programming","http://www.coursera.org/specializations/jhu-data-science","you will learn how to program in R and how to use R for effective data  analysis. You will learn how to install and configure software necessary for a statistical programming environment and describe generic programming language ... moreYou can choose to take  only. Learn more.","Johns Hopkins University","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/eb/8e18e0a4f111e59ae9c776a3dd0526/jhu-logo-thumb.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00001",""
"csr00003","Getting and Cleaning Data","http://www.coursera.org/specializations/jhu-data-science","Before you can work with data you have to get some.  will cover the basic  ways that data can be obtained. The course will cover obtaining data from the web, from APIs, from databases and from colleagues in various formats. It will also c... moreYou can choose to take  only. Learn more.","Johns Hopkins University","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/eb/8e18e0a4f111e59ae9c776a3dd0526/jhu-logo-thumb.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00001",""
"csr00004","Exploratory Data Analysis","http://www.coursera.org/specializations/jhu-data-science","covers the essential exploratory techniques for summarizing data. These  techniques are typically applied before formal modeling commences and can help inform the development of more complex statistical models. Exploratory techniques ... moreYou can choose to take  only. Learn more.","Johns Hopkins University","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/eb/8e18e0a4f111e59ae9c776a3dd0526/jhu-logo-thumb.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00001",""
"csr00005","Reproducible Research","http://www.coursera.org/specializations/jhu-data-science","focuses on the concepts and tools behind reporting modern data analyses in a  reproducible manner. Reproducible research is the idea that data analyses, and more generally, scientific claims, are published with their data and software code... moreYou can choose to take  only. Learn more.","Johns Hopkins University","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/eb/8e18e0a4f111e59ae9c776a3dd0526/jhu-logo-thumb.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00001",""
"csr00006","Statistical Inference","http://www.coursera.org/specializations/jhu-data-science","Statistical inference is the process of drawing conclusions about populations or  scientific truths from data. There are many modes of performing inference including statistical modeling, data oriented strategies and explicit use of des... moreYou can choose to take  only. Learn more.","Johns Hopkins University","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/eb/8e18e0a4f111e59ae9c776a3dd0526/jhu-logo-thumb.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00001",""
"csr00007","Regression Models","http://www.coursera.org/specializations/jhu-data-science","Linear models, as their name implies, relates an outcome to a set of predictors of  interest using linear assumptions.  Regression models, a subset of linear models, are the most important statistical analysis tool in a data scientists toolkit. Thi... moreYou can choose to take  only. Learn more.","Johns Hopkins University","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/eb/8e18e0a4f111e59ae9c776a3dd0526/jhu-logo-thumb.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00001",""
"csr00008","Practical Machine Learning","http://www.coursera.org/specializations/jhu-data-science","One of the most common tasks performed by data scientists and data analysts are  prediction and machine learning.  will cover the basic components of building and applying prediction functions with an emphasis on practical appli... moreYou can choose to take  only. Learn more.","Johns Hopkins University","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/eb/8e18e0a4f111e59ae9c776a3dd0526/jhu-logo-thumb.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00001",""
"csr00009","Developing Data Products","http://www.coursera.org/specializations/jhu-data-science","A data product is the production output from a statistical analysis. Data products  automate complex analysis tasks or use technology to expand the utility of a data informed model, algorithm or inference.  covers the basics of creat... moreYou can choose to take  only. Learn more.","Johns Hopkins University","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/eb/8e18e0a4f111e59ae9c776a3dd0526/jhu-logo-thumb.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00001",""
"csr00010","Data Science Capstone","http://www.coursera.org/specializations/jhu-data-science","About the Capstone ProjectThe capstone project class will allow students to create a usable/public data product that can be used to show your skills to potential employers. Projects will be drawn from real-world problems and will be conducted with industry, government, an... moreYou can choose to take  only. Learn more.","Johns Hopkins University","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/eb/8e18e0a4f111e59ae9c776a3dd0526/jhu-logo-thumb.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00001",""
"csr00011","Data-driven Decision Making","http://www.coursera.org/specializations/pwc-analytics","Welcome to Data-driven Decision Making.  you'll get an introduction to  Data Analytics and its role in business decisions. You'll learn why data is important and how it has evolved. You'll be introduced to Big Data and how it is used... moreYou can choose to take  only. Learn more.","Duke University","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/08/8c6610c07e11e6a7f5e70b413367a6/DMSIcon.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00002",""
"csr00012","Problem Solving with Excel ","http://www.coursera.org/specializations/pwc-analytics","explores Excel as a tool for solving business problems.  you  will learn the basic functions of excel through guided demonstration. Each week you will build on your excel skills and be provided an opportunity to practice wha... moreYou can choose to take  only. Learn more.","Duke University","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/08/8c6610c07e11e6a7f5e70b413367a6/DMSIcon.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00002",""
"csr00013","Data Visualization with Advanced Excel","http://www.coursera.org/specializations/pwc-analytics",", you will get hands-on instruction of advanced Excel 2013 functions.   Youll learn to use PowerPivot to build databases and data models.  Well show you how to perform different types of scenario and simulation analysis and youll... moreYou can choose to take  only. Learn more.","Duke University","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/08/8c6610c07e11e6a7f5e70b413367a6/DMSIcon.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00002",""
"csr00014","Effective Business Presentations with Powerpoint","http://www.coursera.org/specializations/pwc-analytics","is all about presenting the story of the data, using PowerPoint. You'll  learn how to structure a presentation, to include insights and supporting data. You'll also learn some design principles for effective visuals and slides. You'll gai... moreYou can choose to take  only. Learn more.","Duke University","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/08/8c6610c07e11e6a7f5e70b413367a6/DMSIcon.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00002",""
